stationID,daytype,hour,statusS,statusN
3,0,0,1.00,1.33
3,0,1,1.00,1.33
3,0,2,1.00,1.33
3,0,3,1.00,1.33
3,0,4,1.00,1.33
3,0,5,1.00,1.29
3,0,6,1.21,2.08
3,0,7,1.25,2.48
3,0,8,1.27,2.10
3,0,9,1.24,1.84
3,0,10,1.24,1.84
3,0,11,1.23,1.90
3,0,12,1.27,1.78
3,0,13,1.46,1.73
3,0,14,1.43,2.02
3,0,15,1.60,2.21
3,0,16,1.73,2.35
3,0,17,1.81,2.38
3,0,18,1.85,2.42
3,0,19,1.88,2.44
3,0,20,2.00,2.12
3,0,21,1.87,1.71
3,0,22,1.31,1.33
3,0,23,1.06,1.27
3,1,0,1.00,1.06
3,1,1,1.00,1.02
3,1,2,1.00,1.02
3,1,3,1.00,1.02
3,1,4,1.00,1.00
3,1,5,1.01,1.01
3,1,6,1.33,2.20
3,1,7,1.48,2.48
3,1,8,1.38,1.85
3,1,9,1.28,1.78
3,1,10,1.29,1.84
3,1,11,1.28,1.89
3,1,12,1.29,1.99
3,1,13,1.32,2.01
3,1,14,1.38,2.27
3,1,15,1.63,2.52
3,1,16,1.76,2.64
3,1,17,1.89,2.60
3,1,18,1.92,2.65
3,1,19,1.94,2.58
3,1,20,1.92,2.32
3,1,21,1.77,1.66
3,1,22,1.28,1.33
3,1,23,1.15,1.20
3,5,0,1.23,1.31
3,5,1,1.06,1.35
3,5,2,1.00,1.19
3,5,3,1.00,1.17
3,5,4,1.00,1.17
3,5,5,1.00,1.17
3,5,6,1.17,1.40
3,5,7,1.17,1.62
3,5,8,1.27,2.00
3,5,9,1.50,2.06
3,5,10,1.58,2.06
3,5,11,1.71,1.98
3,5,12,1.77,2.02
3,5,13,1.83,1.98
3,5,14,1.81,2.27
3,5,15,1.92,2.48
3,5,16,1.92,2.42
3,5,17,1.94,2.35
3,5,18,1.92,2.21
3,5,19,1.92,2.08
3,5,20,1.98,1.79
3,5,21,1.85,1.27
3,5,22,1.73,1.21
3,5,23,1.54,1.17
3,6,0,1.23,1.15
3,6,1,1.08,1.08
3,6,2,1.08,1.08
3,6,3,1.08,1.08
3,6,4,1.08,1.08
3,6,5,1.08,1.08
3,6,6,1.08,1.06
3,6,7,1.08,1.00
3,6,8,1.08,1.00
3,6,9,1.08,1.00
3,6,10,1.08,1.00
3,6,11,1.08,1.02
3,6,12,1.08,1.00
3,6,13,1.08,1.04
3,6,14,1.08,1.25
3,6,15,1.11,1.66
3,6,16,1.33,1.85
3,6,17,1.43,1.98
3,6,18,1.50,2.04
3,6,19,1.54,2.00
3,6,20,1.44,1.90
3,6,21,1.29,1.81
3,6,22,1.02,1.54
3,6,23,1.00,1.33
4,0,0,1.04,1.15
4,0,1,1.00,1.08
4,0,2,1.00,1.08
4,0,3,1.00,1.08
4,0,4,1.00,1.08
4,0,5,1.02,1.10
4,0,6,1.94,2.29
4,0,7,2.04,2.60
4,0,8,1.73,2.21
4,0,9,1.51,2.08
4,0,10,1.57,2.18
4,0,11,1.46,2.17
4,0,12,1.49,2.20
4,0,13,1.54,2.12
4,0,14,1.59,2.24
4,0,15,1.92,2.38
4,0,16,2.08,2.48
4,0,17,2.08,2.40
4,0,18,2.23,2.50
4,0,19,2.38,2.52
4,0,20,2.38,2.27
